index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
3313,Industrial orders_3,NZDCHF,2,0.965,595.3,583.5,[253.3 342. ],[248.1 335.4],[155.6 271.5],[155.6 260.6],[ 97.7 166.3],[ 92.5 160.9],[ 95.7 155.1],[114.4 168.4],[ 54.5 108.5],[44.2 92.3],"(array([103.3, 138.3]),)","(array([107.2, 136.4]),)","(array([38.4, 56.4]),)","(array([38. , 59.5]),)","(array([19.9, 33.7]),)","(array([21.8, 38.7]),)"
3314,Industrial orders_3.5,NZDCHF,2,0.895,632.2,631.0,[267.7 364.5],[266.3 364.7],[165.8 288.3],[167.7 282.4],[102.  176.6],[ 98.7 176.6],[111.1 184. ],[133.2 200.8],[ 62.4 129.1],[45.4 97.1],"(array([121.6, 167.2]),)","(array([127.3, 168.7]),)","(array([38.4, 56.4]),)","(array([38. , 59.5]),)","(array([19.9, 33.7]),)","(array([21.8, 38.7]),)"
3315,Industrial orders_4,NZDCHF,2,0.85,688.5999999999999,676.8,[287.9 400.7],[282.2 394.6],[176.  306.1],[181.5 309.8],[111.9 209.5],[100.7 178.1],[143.6 222.5],[161.4 227.5],[ 75.2 153.3],[ 64.9 137.5],"(array([148.4, 193.7]),)","(array([151.8, 191.3]),)","(array([38.4, 56.4]),)","(array([38. , 59.5]),)","(array([19.9, 33.7]),)","(array([21.8, 38.7]),)"
3316,Investing.com USD/CHF Index_0.5,NZDCHF,4,0.7475,246.9,272.9,[ 95.  151.9],[114.1 158.8],[45.  88.5],[ 61.2 103.9],[ 50.  100.2],[52.9 96.6],[10.9 22.9],[ 9.8 20.3],[11.9 24.2],[11.5 24.8],"(array([19.8, 28. ]),)","(array([17.7, 28.2]),)","(array([29.8, 50.8]),)","(array([40.2, 56.2]),)","(array([15.7, 30.7]),)","(array([23.2, 35.8]),)"
3317,Investing.com USD/CHF Index_1,NZDCHF,4,0.85,352.20000000000005,334.70000000000005,[136.4 215.8],[141.8 192.9],[ 65.7 131.4],[ 81.6 133.7],[ 70.6 136.2],[ 60.2 110.3],[26.2 48.7],[36.2 55.5],[28.5 50.1],[16.  35.7],"(array([35.6, 51. ]),)","(array([39.1, 51. ]),)","(array([30., 51.]),)","(array([40.2, 56.2]),)","(array([15.8, 30.9]),)","(array([23.2, 35.8]),)"
3318,Investing.com USD/CHF Index_1.5,NZDCHF,3,0.9433333333333334,433.5,482.1,[169.2 264.3],[204.  278.1],[ 81.3 157.7],[127.5 222. ],[ 87.9 171.5],[ 76.5 128.9],[43.3 76.9],[60.8 91.8],[43.8 76.5],[34.7 70.2],"(array([53. , 75.6]),)","(array([60.7, 80.9]),)","(array([30.1, 51. ]),)","(array([40.2, 56.2]),)","(array([15.8, 30.9]),)","(array([23.2, 35.8]),)"
3319,Investing.com USD/CHF Index_2,NZDCHF,3,0.92,497.6,611.1,[198.5 299.1],[257.8 353.3],[ 94.3 180.3],[158.2 278. ],[104.3 197. ],[ 99.6 170.8],[56.6 99.2],[ 90.2 117. ],[ 60.6 104. ],[50.8 97.5],"(array([70.2, 99.7]),)","(array([72.4, 99.3]),)","(array([30., 51.]),)","(array([40.2, 56.2]),)","(array([15.8, 30.8]),)","(array([23.2, 35.8]),)"
3320,Investing.com USD/CHF Index_2.5,NZDCHF,3,0.59,559.2,644.7,[223.3 335.9],[274.7 370. ],[107.4 209.3],[171.8 299.7],[116.  214.7],[102.9 179.1],[ 71.9 125.4],[101.2 137.6],[ 75.6 128.5],[ 52.  100.3],"(array([ 85.6, 122.2]),)","(array([ 84.5, 117.1]),)","(array([30., 51.]),)","(array([40.2, 56.2]),)","(array([15.8, 30.8]),)","(array([23.2, 35.8]),)"
3321,Investing.com USD/CHF Index_3,NZDCHF,3,0.5933333333333334,612.0,654.3,[243.3 368.7],[280.3 374. ],[117. 232.],[173.9 299.6],[126.3 229.8],[106.4 189. ],[ 84.1 146.6],[113.7 161. ],[ 91.2 153.6],[ 55.5 110.1],"(array([100.9, 144.5]),)","(array([100.6, 135.1]),)","(array([30., 51.]),)","(array([40.2, 56.2]),)","(array([15.8, 30.8]),)","(array([23.2, 35.8]),)"
3322,Investing.com USD/CHF Index_3.5,NZDCHF,2,0.9,645.0999999999999,706.0,[258.4 386.7],[302.2 403.8],[125.  245.3],[188.2 314.5],[133.5 240.7],[114.1 211.3],[101.5 174.6],[126.7 185.6],[100.  171.1],[ 66.  138.2],"(array([115.4, 165.1]),)","(array([124.1, 168.4]),)","(array([30. , 50.9]),)","(array([40.2, 56.2]),)","(array([15.7, 30.7]),)","(array([23.2, 35.8]),)"
